#Date Report Generated: 2020-09-02T14:03:19.049
#INSTRUMENT HOST ID,	INSTRUMENT ID,	TYPE,	ODE TYPE ABBREVIATION,	PRODUCT ID,	OBSERVATION TIME,	CENTER LATITUDE (IF AVAILABLE),	CENTER LONGITUDE (IF AVAILABLE),	ORBITAL DATA EXPLORER PRODUCT LINK,	ORBITAL DATA EXPLORER PRODUCT FILES LINK,	PDS VERSION,	BUNDLE ID (IF PDS4),	COLLECTION ID (IF PDS4),	PRODUCT LID (IF PDS4),	PRODUCT TITLE (IF PDS4),	ORBITAL DATA EXPLORER PRODUCT DISPLAY LABEL
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_BL2.IMG,	2005-04-14T16:12:33.959,	30.7341,	72.7499,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_BL2.IMG&product_idGeo=24649532,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_BL2.IMG&product_idGeo=24649532,	3,	,	,	,	,	H1596_0001_BL2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_GR2.IMG,	2005-04-14T16:14:01.743,	30.7087,	72.8973,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_GR2.IMG&product_idGeo=24649533,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_GR2.IMG&product_idGeo=24649533,	3,	,	,	,	,	H1596_0001_GR2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_IR2.IMG,	2005-04-14T16:18:47.530,	30.6208,	73.8001,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_IR2.IMG&product_idGeo=24649534,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_IR2.IMG&product_idGeo=24649534,	3,	,	,	,	,	H1596_0001_IR2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_ND2.IMG,	2005-04-14T16:13:15.333,	30.7211,	72.8158,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_ND2.IMG&product_idGeo=24649535,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_ND2.IMG&product_idGeo=24649535,	3,	,	,	,	,	H1596_0001_ND2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_RE2.IMG,	2005-04-14T16:10:24.226,	30.9099,	71.0997,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_RE2.IMG&product_idGeo=24649536,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_RE2.IMG&product_idGeo=24649536,	3,	,	,	,	,	H1596_0001_RE2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_S12.IMG,	2005-04-14T16:21:24.722,	30.5757,	74.535,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_S12.IMG&product_idGeo=24649537,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_S12.IMG&product_idGeo=24649537,	3,	,	,	,	,	H1596_0001_S12.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1596_0001_S22.IMG,	2005-04-14T16:09:55.820,	30.8963,	71.1538,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1596_0001_S22.IMG&product_idGeo=24649538,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1596_0001_S22.IMG&product_idGeo=24649538,	3,	,	,	,	,	H1596_0001_S22.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1607_0009_BL2.IMG,	2005-04-17T18:04:22.037,	46.4916,	71.8919,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1607_0009_BL2.IMG&product_idGeo=24649642,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1607_0009_BL2.IMG&product_idGeo=24649642,	3,	,	,	,	,	H1607_0009_BL2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1607_0009_GR2.IMG,	2005-04-17T18:05:17.514,	46.4734,	72.0394,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1607_0009_GR2.IMG&product_idGeo=24649643,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1607_0009_GR2.IMG&product_idGeo=24649643,	3,	,	,	,	,	H1607_0009_GR2.IMG
MEX,	HRSC,	Version 3 Reduced Data Record,	RDRV3,	H1607_0009_IR2.IMG,	2005-04-17T18:07:54.347,	46.439,	72.7263,	https://ode.rsl.wustl.edu/mars/indexproductpage.aspx?product_id=H1607_0009_IR2.IMG&product_idGeo=24649644,	https://ode.rsl.wustl.edu/mars/productfiles.aspx?product_id=H1607_0009_IR2.IMG&product_idGeo=24649644,	3,	,	,	,	,	H1607_0009_IR2.IMG
